DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2018,1692,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2018,21527,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2018,162101,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2018,2164,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FX,2018,20754,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2018,650,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HU,2018,3270,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IE,2018,1867,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IS,2018,81,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,IT,2018,22622,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,LT,2018,228,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,LU,2018,237,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,LV,2018,441,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,MT,2018,254,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,NL,2018,11868,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,NO,2018,2894,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,PL,2018,551,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,PT,2018,4593,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,RO,2018,0,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,RS,2018,751,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,SE,2018,6340,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,SI,2018,0,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,SK,2018,601,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,UK,2018,54392,
