DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2011,62665,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2012,65819,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2013,66125,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2014,65132,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2015,69962,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2016,67772,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2017,70399,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2018,70728,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2019,70549,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Austria,2020,78020,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,Annual,Number,Total,65 years or over,All causes of death (A00-Y89) excluding S00-T98,All deaths reported in the country,Belgium,2011,85186,
