DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,DEATHS,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2013,4342,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2014,4595,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2015,4992,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2016,4659,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2017,5183,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2018,4987,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2019,5357,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CY,2020,5505,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2011,82385,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2012,84659,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2013,86599,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2014,84464,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2015,90307,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2016,87693,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2017,91500,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2018,93146,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2019,93128,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,CZ,2020,109317,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2011,714206,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2012,733322,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2013,755285,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2014,732824,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2015,785533,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2016,772513,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2017,796608,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2018,816663,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2019,805386,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DE,2020,849176,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2011,42693,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2012,42945,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2013,43319,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2014,42341,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2015,43752,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2016,44052,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2017,44941,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2018,46853,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2019,45889,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,DK,2020,46864,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2011,11383,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2012,11628,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2013,11813,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2014,11920,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2015,11949,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2016,11999,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2017,12346,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2018,12554,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2019,12336,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EE,2020,12624,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2011,93850,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2012,99470,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2013,95223,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2014,97277,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2015,104653,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2016,102188,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2017,108106,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2018,104213,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2019,108770,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EL,2020,114516,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2011,326155,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2012,341900,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2013,330935,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2014,337099,
