DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,GDP_per_Capita,OBS_FLAG
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2012,15170,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2013,15160,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2014,15480,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2015,16290,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2016,16670,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2017,17490,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2018,17990,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2019,18460,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2020,17400,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2011,33200,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2012,33280,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2013,33330,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2014,33920,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2015,34130,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2016,34610,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2017,35410,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2018,35650,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2019,35950,p
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2020,34590,p
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2011,44240,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2012,44170,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2013,44410,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2014,44890,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2015,45630,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2016,46720,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2017,47740,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2018,48450,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2019,48970,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2020,47890,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2011,11890,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2012,12320,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2013,12540,
